epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
127,10453.3,1.11363,0.49236,0.00229,0.91405,0.83906,0.90259,0.63506,0.83633,0.57921,0.00218,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
128,10534.8,1.10902,0.49554,0.00232,0.91484,0.84022,0.9032,0.63525,0.83615,0.57802,0.00218,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809
129,10615.8,1.10988,0.49114,0.00226,0.91494,0.83953,0.90298,0.63543,0.83632,0.578,0.00218,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
130,10697.9,1.0981,0.48766,0.00229,0.91523,0.83938,0.90259,0.63528,0.83606,0.57659,0.00218,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
131,10779.8,1.10713,0.48679,0.00231,0.91535,0.83889,0.903,0.63548,0.83638,0.57682,0.00218,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
132,10861.6,1.09983,0.48213,0.0023,0.91705,0.83956,0.90276,0.63541,0.83621,0.57789,0.00218,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677
133,10943.4,1.10194,0.47578,0.00227,0.91728,0.83864,0.90286,0.63529,0.83594,0.5781,0.00217,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
134,11024.8,1.10621,0.49022,0.00227,0.91571,0.8391,0.90274,0.63533,0.83601,0.5781,0.00218,0.016833,0.005611,0.016833,0.005611,0.016833,0.005611,0.016833,0.005611
135,11106.6,1.09848,0.4831,0.00225,0.91752,0.83892,0.90293,0.63566,0.83614,0.57777,0.00218,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
136,11188.1,1.09758,0.47843,0.00226,0.91706,0.83882,0.90277,0.63615,0.83655,0.57855,0.00218,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
